Time,P_active,P_reactive,Papperant,Vrms,Irms,P,Q,S,theta_rad
2018-12-13 11:23:00.778181120,400.84035054784664,821.0599277373437,913.6806835888416,229.62784675796902,3.9789629023167814,898.5852346173355,165.3994186539996,913.6806835888416,0.1820289855072464
2018-12-13 11:23:00.799393280,394.1360436894578,821.7708110195506,911.400288994308,229.62784675796902,3.9690320745590437,877.6371396491122,245.77131217339587,911.400288994308,0.27304347826086955
2018-12-13 11:23:00.820605184,398.04692789908745,823.3045397401734,914.4789346762888,229.62784675796902,3.982439184042702,899.3702973351767,165.5439223829009,914.4789346762889,0.1820289855072464
2018-12-13 11:23:00.841817344,401.039546133311,822.0544560295414,914.6618206970471,229.62784675796902,3.983235629349055,899.5501617898195,165.57702939945133,914.6618206970471,0.1820289855072464
2018-12-13 11:23:00.863029504,394.7728523048159,824.747821613082,914.3601993593139,229.62784675796902,3.9819221068734856,880.4873990770833,246.56949170340883,914.3601993593139,0.27304347826086955
2018-12-13 11:23:00.884241664,398.33294667384587,823.0637200971776,914.3866926777063,229.62784675796902,3.9820374818977538,899.2795793201999,165.52722423746008,914.3866926777063,0.1820289855072464
2018-12-13 11:23:00.905453568,401.8977354488041,823.7021624991413,916.5189808534457,229.62784675796902,3.991323325082038,901.37663872518,165.91322257474002,916.5189808534458,0.1820289855072464
2018-12-13 11:23:00.926665728,395.3752848790552,826.2247338558939,915.952469688486,229.62784675796902,3.9888562411766753,882.0206831829998,246.99886875415257,915.952469688486,0.27304347826086955
2018-12-13 11:23:00.947877888,399.32552046856875,824.6608222981646,916.2567015476494,229.62784675796902,3.990181132140288,901.1186926880497,165.86574335636226,916.2567015476495,0.1820289855072464
2018-12-13 11:23:00.969090048,402.47898069308684,823.1374298024318,916.2666414540581,229.62784675796902,3.990224419165573,901.1284683714945,165.86754273197673,916.2666414540581,0.1820289855072464
2018-12-13 11:23:00.990302208,396.0266800402271,824.9921668450994,915.1225090988947,229.62784675796902,3.9852418686112,881.2214687799914,246.7750587492412,915.1225090988947,0.27304347826086955
2018-12-13 11:23:01.011514112,399.5793671457143,824.8949509913382,916.5780658621346,229.62784675796902,3.991580632762806,901.4347475561411,165.92391846255276,916.5780658621347,0.1820289855072464
2018-12-13 11:23:01.032726272,402.2766534523553,821.8090922471785,914.9845299309479,229.62784675796902,3.9846409869241795,899.8675393571322,165.63544797022794,914.984529930948,0.1820289855072464
2018-12-13 11:23:01.054241536,396.6787822163566,824.7947453642716,915.2269818144379,229.62784675796902,3.985696833969357,881.3220712664595,246.80323121823798,915.2269818144379,0.27304347826086955
2018-12-13 11:23:01.075453440,400.0549494657633,825.1884430892875,917.0495783763148,229.62784675796902,3.9936340096543166,901.8984699383582,166.00927420787414,917.0495783763148,0.1820289855072464
2018-12-13 11:23:01.096665600,403.0137532020687,823.1174029738202,916.4836847147822,229.62784675796902,3.99116961489766,901.341925734513,165.90683307683278,916.4836847147823,0.1820289855072464
2018-12-13 11:23:01.117877760,397.3847491171064,827.2435935728861,917.7399424337201,229.62784675796902,3.9966404571176897,883.7419383617304,247.4808847545591,917.7399424337201,0.27304347826086955
2018-12-13 11:23:01.139089920,400.41908207575796,824.1772082102568,916.2988114276071,229.62784675796902,3.9903645152993965,901.1601068462355,165.87336631456822,916.2988114276071,0.1820289855072464
2018-12-13 11:23:01.160301824,393.73254117451984,831.1990798480274,919.7375844880714,229.62784675796902,4.005339933607825,885.6655770524294,248.0195757280856,919.7375844880714,0.27304347826086955
2018-12-13 11:23:01.181513984,397.930267626835,825.2182666253685,916.1515624970261,229.62784675796902,3.9897232649778003,901.0152907007157,165.84671051681198,916.1515624970261,0.1820289855072464
2018-12-13 11:23:01.202726144,401.0633702819326,822.7872856588477,915.3309480312336,229.62784675796902,3.9861495935900373,900.2082340828848,165.69815844821835,915.3309480312336,0.1820289855072464
2018-12-13 11:23:01.223938304,394.91851413021465,826.1505447706885,915.6884598091875,229.62784675796902,3.987706511807934,881.7664536440095,246.92767494914128,915.6884598091875,0.27304347826086955
2018-12-13 11:23:01.245150208,397.8733186497023,827.2882860696502,917.9918768493471,229.62784675796902,3.9977375993815047,902.8252001513068,166.17985417354214,917.9918768493471,0.1820289855072464
2018-12-13 11:23:01.266362368,401.5755052397071,824.0137373069387,916.6578018426912,229.62784675796902,3.9919278727935006,901.5131661722756,165.93835270097625,916.6578018426912,0.1820289855072464
2018-12-13 11:23:01.287574528,395.33425535473083,826.2835174368489,915.9877862966792,229.62784675796902,3.9890100405032465,882.054691474824,247.0083923512394,915.9877862966792,0.27304347826086955
2018-12-13 11:23:01.308786688,399.1336227014101,821.9577163279636,913.7407379567974,229.62784675796902,3.979224431433584,898.6442967922163,165.41029002046923,913.7407379567975,0.1820289855072464
2018-12-13 11:23:01.329998848,401.9534260224087,823.3668409816745,916.2420594577036,229.62784675796902,3.990117367705127,901.1042925085717,165.86309276605382,916.2420594577036,0.1820289855072464
2018-12-13 11:23:01.351210752,395.91472931051675,826.7591772820948,916.6674479358292,229.62784675796902,3.9919698802994463,882.7091748057115,247.1916722282648,916.6674479358292,0.27304347826086955
2018-12-13 11:23:01.372422912,399.40664992541195,823.8010762280154,915.5183696677402,229.62784675796902,3.9869657909247804,900.3925592177352,165.73208652646076,915.5183696677402,0.1820289855072464
2018-12-13 11:23:01.393635072,402.4541008679766,823.5465746033409,916.6232944052575,229.62784675796902,3.991777597302436,901.4792288522476,165.93210597803105,916.6232944052576,0.1820289855072464
