Time stamp,Power
2018-12-13 11:23:01.013332480,375.2431255390084
2018-12-13 11:23:01.931513344,1339.624015996814
2018-12-13 11:23:02.906967040,1339.309463187408
2018-12-13 11:23:03.927571968,1337.773997262125
2018-12-13 11:23:04.946359040,1340.4425328587065
2018-12-13 11:23:05.901206528,1338.856362073621
2018-12-13 11:23:06.881205504,1335.3510641200492
2018-12-13 11:23:07.799083520,1336.0987241596097
2018-12-13 11:23:08.935142912,1337.293010136815
2018-12-13 11:23:09.913323776,1334.825494519406
2018-12-13 11:23:10.872110848,1335.8768470351324
2018-12-13 11:23:11.826655488,1335.35803697309
2018-12-13 11:23:12.964532992,1335.030988041768
2018-12-13 11:23:13.959683584,1339.608317911738
2018-12-13 11:23:15.020591616,1734.839339534925
2018-12-13 11:23:15.999681792,2931.783693635159
2018-12-13 11:23:16.975135232,3313.730666757699
2018-12-13 11:23:17.993619200,3312.644760400614
2018-12-13 11:23:18.951496960,3299.1415010379405
2018-12-13 11:23:19.946950656,3292.156029560279
2018-12-13 11:23:20.885131520,3294.1096992380903
2018-12-13 11:23:21.962706432,3291.1769997051038
2018-12-13 11:23:23.002705408,3282.751112806708
2018-12-13 11:23:23.962401280,3287.3969186965146
2018-12-13 11:23:24.937854976,3293.989069543873
2018-12-13 11:23:25.999672064,3289.5178090222284
2018-12-13 11:23:26.916337920,3287.483274952144
2018-12-13 11:23:27.849064448,3292.121596969561
2018-12-13 11:23:28.806336256,3290.679680913932
2018-12-13 11:23:29.866335232,3874.4149132417856
2018-12-13 11:23:30.841182720,4342.170279421617
2018-12-13 11:23:31.840575744,4353.715334498315
2018-12-13 11:23:32.795423232,4351.782144896418
2018-12-13 11:23:33.754816256,4353.17230194148
2018-12-13 11:23:34.796027392,4353.692521094752
2018-12-13 11:23:35.770572032,4347.0522334232255
2018-12-13 11:23:36.728449792,4339.607678404432
2018-12-13 11:23:37.726933760,4339.951734288435
2018-12-13 11:23:38.659054080,4346.843003522708
2018-12-13 11:23:39.617538048,4349.1553191616
2018-12-13 11:23:40.576324864,4348.221441014261
2018-12-13 11:23:41.509960448,4351.574462612179
2018-12-13 11:23:42.469353472,4349.689248379883
2018-12-13 11:23:43.386625280,4351.507679923645
2018-12-13 11:23:44.340260864,4350.391753714691
2018-12-13 11:23:45.298441728,4349.935003503335
2018-12-13 11:23:46.339955712,3640.7740469981063
2018-12-13 11:23:47.274803456,3280.703288535896
2018-12-13 11:23:48.335105536,3280.9772503511585
2018-12-13 11:23:49.350862080,3284.738674452501
2018-12-13 11:23:50.349042944,3285.7515571055355
2018-12-13 11:23:51.347526912,3289.526817548687
2018-12-13 11:23:52.322071296,3283.742892728309
2018-12-13 11:23:53.240555264,3280.731608461948
2018-12-13 11:23:54.177523968,3288.15169834897
2018-12-13 11:23:55.151462656,3278.030146312143
2018-12-13 11:23:56.110249472,3275.6570176066743
